mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_random_state,param_shuffle,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.23949770927429198,0.006503675768707887,0.0030457496643066405,5.3718494227776986e-05,logistic,0.0001,"(100, 40)",0.01,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.01, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9570186335403728,0.009038494292462734,266
0.1882786750793457,0.004088969065608684,0.0030156612396240235,1.2708045747490446e-05,logistic,0.0001,"(100, 40)",0.01584893192461114,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.01584893192461114, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9541614906832298,0.010660093392757738,375
0.15520014762878417,0.001831526171560492,0.0030064105987548826,1.8614613585969467e-05,logistic,0.0001,"(100, 40)",0.025118864315095808,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.025118864315095808, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9541614906832298,0.010660093392757738,375
0.22839555740356446,0.04716763613651434,0.003007793426513672,1.3205548611017312e-05,logistic,0.0001,"(100, 40)",0.039810717055349734,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.039810717055349734, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9571428571428572,0.8985507246376812,0.9425672877846789,0.024425588135756283,679
0.30614209175109863,0.0419331570678506,0.003010988235473633,1.9819454122042e-05,logistic,0.0001,"(100, 40)",0.06309573444801933,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.06309573444801933, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9142857142857143,0.9571428571428572,0.9142857142857143,0.9571428571428572,0.8840579710144928,0.9253830227743272,0.02818309625491419,765
0.29146265983581543,0.053183443530743384,0.003054094314575195,7.960201894152279e-05,logistic,0.0001,"(100, 40)",0.1,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 40), 'learning_rate_init': 0.1, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.8857142857142857,0.9142857142857143,0.8571428571428571,0.9857142857142858,0.9130434782608695,0.9111801242236025,0.04274808339928178,787
1.0015234470367431,0.0301583754412559,0.002948427200317383,9.923025944108283e-06,logistic,0.0001,"(100, 20)",0.001,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 20), 'learning_rate_init': 0.001, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9598757763975156,0.010726476096856098,169
0.7537927150726318,0.013267392433975489,0.0029563426971435545,1.2575670408283831e-05,logistic,0.0001,"(100, 20)",0.001584893192461114,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 20), 'learning_rate_init': 0.001584893192461114, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9598757763975156,0.010726476096856098,169
0.5624016761779785,0.013609579504320532,0.002944326400756836,5.414989306098323e-06,logistic,0.0001,"(100, 20)",0.0025118864315095794,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 20), 'learning_rate_init': 0.0025118864315095794, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9570186335403728,0.009038494292462734,266
0.42456254959106443,0.009707621682188814,0.0029491424560546876,1.1164101125077742e-05,logistic,0.0001,"(100, 20)",0.003981071705534973,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 20), 'learning_rate_init': 0.003981071705534973, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9599171842650105,0.010602840043313114,114
